"section","category","title","summary","date","date_iso","year","month","url","page"
"publications","Gender and land and water","Gender, culture and workplace health and safety in the Marshall Islands (A social sustainability management plan - March 2024)","","01/11/2024","2024-11-01","2024","11","https://openknowledge.fao.org/handle/20.500.14283/cd0422en","5"
"publications","Gender in fisheries and aquaculture","Gender strategy for the fisheries sector in Cabo Verde","","01/11/2024","2024-11-01","2024","11","https://openknowledge.fao.org/handle/20.500.14283/cd2830en","5"
"publications","Gender equality and women’s empowerment","Evaluation of the project ""Empowerment of Agricultural Women Cooperatives and Producer Associations in the Agrifood Sector of Lebanon""","","01/11/2024","2024-11-01","2024","11","https://openknowledge.fao.org/handle/20.500.14283/cd3292en","5"
"publications","Gender equality and women’s empowerment","Empowering women in the Western Balkans","","01/11/2024","2024-11-01","2024","11","https://openknowledge.fao.org/handle/20.500.14283/cd3418en","6"
"publications","Gender equality and women’s empowerment","Empowering Rural Communities in Central Asia through Digital Transformation in Agriculture - FMM/GLO/171/MUL","","01/11/2024","2024-11-01","2024","11","https://openknowledge.fao.org/handle/20.500.14283/cd3394en","6"
"publications","Gender equality and women’s empowerment","Training course material for climate-wise women agents","","01/10/2024","2024-10-01","2024","10","https://openknowledge.fao.org/handle/20.500.14283/cd2842en","6"
"publications","Gender and food security and nutrition","Theory of change for gender transformative programming for food security, nutrition and sustainable agriculture","","01/10/2024","2024-10-01","2024","10","https://openknowledge.fao.org/handle/20.500.14283/cd2465en","6"
"publications","Gender equality and women’s empowerment","Supporting Women’s Agrifood Cooperatives and Associations in Lebanon - GCP/LEB/030/CAN","","01/10/2024","2024-10-01","2024","10","https://openknowledge.fao.org/handle/20.500.14283/cd2721en","7"
"publications","Gender analysis, gender mainstreaming and the project cycle","Step-by-step checklist for integrating a gender transformative approach throughout the project cycle","","01/10/2024","2024-10-01","2024","10","https://openknowledge.fao.org/handle/20.500.14283/cd2907en","7"
"publications","Gender in fisheries and aquaculture","Lessons learned on establishing a ""Gender Desk"" within a national fisheries institution","","01/10/2024","2024-10-01","2024","10","https://openknowledge.fao.org/handle/20.500.14283/cd2818en","7"
"publications","Gender and inclusive food systems and value chains","Gender-responsive value chain analysis in Albania (Case studies of Elbasan, Leskovik and Puka)","","01/10/2024","2024-10-01","2024","10","https://openknowledge.fao.org/handle/20.500.14283/cd1282en","6"
"publications","Gender equality and women’s empowerment","Empowering Women’s Livelihoods in Small-Scale Fisheries in Liberia During and After COVID-19 - GCP/LIR/031/JPN","","01/10/2024","2024-10-01","2024","10","https://openknowledge.fao.org/handle/20.500.14283/cd2947en","6"
"publications","Gender and food security and nutrition","Climate technologies for agrifood systems transformation - Placing food security, climate change and poverty reduction at the forefront","","01/10/2024","2024-10-01","2024","10","https://openknowledge.fao.org/handle/20.500.14283/cd2877en","6"
"publications","Gender equality and women’s empowerment","Advancing women's leadership in dryland regions through the three Rs: rights, representation and resources","","01/10/2024","2024-10-01","2024","10","https://openknowledge.fao.org/handle/20.500.14283/cc9187en","6"
"publications","Gender and inclusive food systems and value chains","Understanding the gender-related impact of the crisis in the Gaza Strip and the West Bank for an inclusive response","","01/09/2024","2024-09-01","2024","9","https://openknowledge.fao.org/handle/20.500.14283/cd2221en","7"
"publications","Gender equality and women’s empowerment","Empowering Women, Increasing Institutional and Local Resilience and Recovering and Preserving Forestlands in West Honduras - GCP/HON/045/CAN","","01/09/2024","2024-09-01","2024","9","https://openknowledge.fao.org/handle/20.500.14283/cd2345en","7"
"publications","Gender in fisheries and aquaculture","Understanding women’s roles and trade potential along the fisheries and aquaculture value chains: Case studies from Ghana and Nigeria","","01/08/2024","2024-08-01","2024","8","https://openknowledge.fao.org/handle/20.500.14283/cd1155en","8"
"publications","Gender equality and women’s empowerment","Technical barriers to trade in the agrifood sector - Making the African Continental Free Trade Area work for women: Policy brief","","01/08/2024","2024-08-01","2024","8","https://openknowledge.fao.org/handle/20.500.14283/cd1030en","8"
"publications","Gender equality and women’s empowerment","Sanitary and phytosanitary measures- Making the African Continental Free Trade Area work for women (Policy brief)","","01/08/2024","2024-08-01","2024","8","https://openknowledge.fao.org/handle/20.500.14283/cd1028en","7"
"publications","Gender equality and women’s empowerment","Report on the Third International Meeting on Gender Equity in the banana industry","","01/08/2024","2024-08-01","2024","8","https://openknowledge.fao.org/handle/20.500.14283/cd1886en","8"
"publications","Gender in fisheries and aquaculture","Post-earthquake value chain analysis of greenhouse tomatoes, fisheries and milk products in Türkiye","","01/08/2024","2024-08-01","2024","8","https://openknowledge.fao.org/handle/20.500.14283/cd1776en","7"
"publications","Gender and inclusive food systems and value chains","Facilitating gender responsive access to finance in the agrifood sector in sub-Saharan Africa","","01/08/2024","2024-08-01","2024","8","https://openknowledge.fao.org/handle/20.500.14283/cd2082en","7"
"publications","Gender in fisheries and aquaculture","Empowering Small-Scale Fisheries for Sustainable and Inclusive Food Systems - FMM/GLO/155/MUL","","01/08/2024","2024-08-01","2024","8","https://openknowledge.fao.org/handle/20.500.14283/cd1857en","8"
"publications","Gender and inclusive food systems and value chains","Commit to Grow Equality - Global commitment to enhance gender equality in agrifood systems through financing and partnerships","","01/08/2024","2024-08-01","2024","8","https://openknowledge.fao.org/handle/20.500.14283/cd1842en","8"
"publications","Gender and food security and nutrition","Joint Programme on Gender Transformative Approaches for Food Security and Nutrition 2023 in review","","11/07/2024","2024-07-11","2024","7","https://openknowledge.fao.org/handle/20.500.14283/cd1546en","8"
"publications","Gender equality and women’s empowerment","Women’s financial inclusion: Alternative collateral approaches for closing the credit gap for women in agrifood systems","","01/07/2024","2024-07-01","2024","7","https://openknowledge.fao.org/handle/20.500.14283/cd1487en","9"
"publications","Gender in forestry and agroforestry","The State of the World’s Forests 2024","","01/07/2024","2024-07-01","2024","7","https://openknowledge.fao.org/handle/20.500.14283/cd1211en","9"
"publications","Gender and innovative and labour-saving technologies","Post-harvest management: bridging gaps and embracing innovations","","01/07/2024","2024-07-01","2024","7","https://openknowledge.fao.org/handle/20.500.14283/cd1185en","9"
"publications","Gender and inclusive food systems and value chains","Intersectionality: A pathway for more inclusive, youth-oriented and gender-responsive agrifood systems","","01/07/2024","2024-07-01","2024","7","https://openknowledge.fao.org/handle/20.500.14283/cd1375en","9"
"publications","Gender and rural advisory services","Farmer Field Schools (FFS) for mutual learning and collective action","","01/07/2024","2024-07-01","2024","7","https://openknowledge.fao.org/handle/20.500.14283/cd1624en","8"
"publications","Gender equality and women’s empowerment","Empowering women in fisheries value chains - Good practices and lessons learned from the Coastal Fisheries Initiative","","01/07/2024","2024-07-01","2024","7","https://openknowledge.fao.org/handle/20.500.14283/cd0879en","9"
"publications","Gender equality and women’s empowerment","Empowering Rural Women: Combating Gender Inequality in Agriculture - FMM/GLO/138/MUL","","01/07/2024","2024-07-01","2024","7","https://openknowledge.fao.org/handle/20.500.14283/cd1630en","9"
"publications","Gender equality and women’s empowerment","Empowering African Women And Boosting their Livelihoods through Agricultural Trade - FMM/GLO/169/MUL","","01/07/2024","2024-07-01","2024","7","https://openknowledge.fao.org/handle/20.500.14283/cd1684en","9"
"publications","Gender equality and women’s empowerment","Diagnostic of gender and age norms in financial inclusion: A pilot study in five districts of Malawi","","01/07/2024","2024-07-01","2024","7","https://openknowledge.fao.org/handle/20.500.14283/cd1373en","8"
"publications","Gender and inclusive food systems and value chains","Commitments matrix - Global commitment to enhance gender equality in agrifood systems through financing and partnerships","","13/06/2024","2024-06-13","2024","6","https://openknowledge.fao.org/handle/20.500.14283/cc9848en","9"
"publications","Gender equality and women’s empowerment","Understanding women’s roles and trade potential along the soybean-to-poultry regional value chain: Case studies from Malawi and South Africa","","01/06/2024","2024-06-01","2024","6","https://openknowledge.fao.org/handle/20.500.14283/cc8570en","10"
"publications","Gender and rural advisory services","Towards gender-responsive agricultural extension services in Albania","","01/06/2024","2024-06-01","2024","6","https://openknowledge.fao.org/handle/20.500.14283/cc7701en","10"
"publications","Gender in fisheries and aquaculture","The State of World Fisheries and Aquaculture 2024","","01/06/2024","2024-06-01","2024","6","https://openknowledge.fao.org/handle/20.500.14283/cd0683en","10"
"publications","Gender statistics and sex-disaggregated data","Support to Use Sex Disaggregated Data in Agriculture to Make Second Generation National Agriculture Investment Plans (NAIPS) and Regional Agriculture Investment Plans (RAIPS) Gender Responsive - TCP/RAF/3803","","01/06/2024","2024-06-01","2024","6","https://openknowledge.fao.org/handle/20.500.14283/cd1297en","10"
"publications","Gender equality and women’s empowerment","Regional Gender Equality Strategy and Action Plan 2024–2027 for the Near East and North Africa region","","01/06/2024","2024-06-01","2024","6","https://openknowledge.fao.org/handle/20.500.14283/cd0923en","10"
"publications","Gender equality and women’s empowerment","Land tenure in Asia and the Pacific - Women’s empowerment and gender equality","","01/06/2024","2024-06-01","2024","6","https://openknowledge.fao.org/handle/20.500.14283/cd1076en","10"
"publications","Gender equality and women’s empowerment","Kosovo gender profile for agriculture and rural livelihoods","","01/06/2024","2024-06-01","2024","6","https://openknowledge.fao.org/handle/20.500.14283/cd1154en","10"
"publications","Gender equality and women’s empowerment","A toolkit for incorporating fish into the home-grown school feeding programme","","01/06/2024","2024-06-01","2024","6","https://openknowledge.fao.org/handle/20.500.14283/cd0278en","10"
